Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,4106,2000,1,1,,,
IDCJAC0010,4106,2000,1,2,,,
IDCJAC0010,4106,2000,1,3,,,
IDCJAC0010,4106,2000,1,4,,,
IDCJAC0010,4106,2000,1,5,,,
IDCJAC0010,4106,2000,1,6,,,
IDCJAC0010,4106,2000,1,7,,,
IDCJAC0010,4106,2000,1,8,,,
IDCJAC0010,4106,2000,1,9,,,
IDCJAC0010,4106,2000,1,10,,,
IDCJAC0010,4106,2000,1,11,,,
IDCJAC0010,4106,2000,1,12,,,
IDCJAC0010,4106,2000,1,13,,,
IDCJAC0010,4106,2000,1,14,,,
IDCJAC0010,4106,2000,1,15,,,
IDCJAC0010,4106,2000,1,16,,,
IDCJAC0010,4106,2000,1,17,,,
IDCJAC0010,4106,2000,1,18,,,
IDCJAC0010,4106,2000,1,19,,,
IDCJAC0010,4106,2000,1,20,,,
IDCJAC0010,4106,2000,1,21,,,
IDCJAC0010,4106,2000,1,22,,,
IDCJAC0010,4106,2000,1,23,,,
IDCJAC0010,4106,2000,1,24,,,
IDCJAC0010,4106,2000,1,25,,,
IDCJAC0010,4106,2000,1,26,,,
IDCJAC0010,4106,2000,1,27,,,
IDCJAC0010,4106,2000,1,28,,,
IDCJAC0010,4106,2000,1,29,,,
IDCJAC0010,4106,2000,1,30,,,
IDCJAC0010,4106,2000,1,31,,,
IDCJAC0010,4106,2000,2,1,,,
IDCJAC0010,4106,2000,2,2,,,
IDCJAC0010,4106,2000,2,3,,,
IDCJAC0010,4106,2000,2,4,,,
IDCJAC0010,4106,2000,2,5,,,
IDCJAC0010,4106,2000,2,6,,,
IDCJAC0010,4106,2000,2,7,,,
IDCJAC0010,4106,2000,2,8,,,
IDCJAC0010,4106,2000,2,9,,,
IDCJAC0010,4106,2000,2,10,,,
IDCJAC0010,4106,2000,2,11,,,
IDCJAC0010,4106,2000,2,12,,,
IDCJAC0010,4106,2000,2,13,,,
IDCJAC0010,4106,2000,2,14,,,
IDCJAC0010,4106,2000,2,15,,,
IDCJAC0010,4106,2000,2,16,,,
IDCJAC0010,4106,2000,2,17,,,
IDCJAC0010,4106,2000,2,18,,,
IDCJAC0010,4106,2000,2,19,,,
IDCJAC0010,4106,2000,2,20,,,
IDCJAC0010,4106,2000,2,21,,,
IDCJAC0010,4106,2000,2,22,,,
IDCJAC0010,4106,2000,2,23,,,
IDCJAC0010,4106,2000,2,24,,,
IDCJAC0010,4106,2000,2,25,,,
IDCJAC0010,4106,2000,2,26,,,
IDCJAC0010,4106,2000,2,27,,,
IDCJAC0010,4106,2000,2,28,,,
IDCJAC0010,4106,2000,2,29,,,
IDCJAC0010,4106,2000,3,1,,,
IDCJAC0010,4106,2000,3,2,,,
IDCJAC0010,4106,2000,3,3,,,
IDCJAC0010,4106,2000,3,4,,,
IDCJAC0010,4106,2000,3,5,,,
IDCJAC0010,4106,2000,3,6,,,
IDCJAC0010,4106,2000,3,7,,,
IDCJAC0010,4106,2000,3,8,,,
IDCJAC0010,4106,2000,3,9,,,
IDCJAC0010,4106,2000,3,10,,,
IDCJAC0010,4106,2000,3,11,,,
IDCJAC0010,4106,2000,3,12,,,
IDCJAC0010,4106,2000,3,13,,,
IDCJAC0010,4106,2000,3,14,,,
IDCJAC0010,4106,2000,3,15,,,
IDCJAC0010,4106,2000,3,16,,,
IDCJAC0010,4106,2000,3,17,,,
IDCJAC0010,4106,2000,3,18,,,
IDCJAC0010,4106,2000,3,19,,,
IDCJAC0010,4106,2000,3,20,,,
IDCJAC0010,4106,2000,3,21,,,
IDCJAC0010,4106,2000,3,22,,,
IDCJAC0010,4106,2000,3,23,,,
IDCJAC0010,4106,2000,3,24,,,
IDCJAC0010,4106,2000,3,25,,,
IDCJAC0010,4106,2000,3,26,,,
IDCJAC0010,4106,2000,3,27,,,
